TreeID,qSpecies,qAddress,SiteOrder,qSiteInfo,PlantDate,year,DBH,Latitude,Longitude
63925,Tristaniopsis laurina :: Swamp Myrtle,129 15th Ave,1,Sidewalk: Curb side : Cutout,8/18/87,1987,3,37.78564759,-122.4744124
63943,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',2746 Gough St,1,Sidewalk: Curb side : Cutout,9/1/87,1987,13,37.7987053,-122.4273069
63986,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1056 Greenwich St,1,Sidewalk: Curb side : Cutout,10/6/87,1987,11,37.80142157,-122.4171498
64007,Lophostemon confertus :: Brisbane Box,2160 Leavenworth St,1,Sidewalk: Curb side : Cutout,10/6/87,1987,16,37.80112405,-122.4176714
63992,Pistacia chinensis :: Chinese Pistache,880 Lombard St,1,Sidewalk: Curb side : Cutout,10/6/87,1987,10,37.80252057,-122.4160233
207894,Ligustrum lucidum :: Glossy Privet,2405 15th Ave,1,Sidewalk: Curb side : Cutout,10/9/87,1987,7,37.74305268,-122.4714237
64068,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',3110 Clay St,1,Sidewalk: Curb side : Cutout,10/23/87,1987,18,37.7894752,-122.4444116
64112,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',2370 North Point St,1,Sidewalk: Curb side : Cutout,11/18/87,1987,14,37.80248348,-122.4462209
64113,Magnolia grandiflora 'Russet' :: Russet Magnolia,155 Connecticut St,1,Sidewalk: Curb side : Cutout,11/18/87,1987,7,37.76394065,-122.3975258
64162,Tristaniopsis laurina :: Swamp Myrtle,631 12th Ave,1,Sidewalk: Curb side : Cutout,12/5/87,1987,10,37.77623881,-122.4704642
64157,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',744 Funston Ave,1,Sidewalk: Curb side : Cutout,12/5/87,1987,1,37.77414086,-122.471231
64197,Pittosporum crassifolium :: Karo Tree,2351 41st Ave,1,Sidewalk: Curb side : Cutout,12/17/87,1987,5,37.74286139,-122.4994007
64220,Metrosideros excelsa :: New Zealand Xmas Tree,1500 Noriega St,1,Sidewalk: Curb side : Cutout,1/15/88,1988,10,37.7541941,-122.4799497
56687,Metrosideros excelsa :: New Zealand Xmas Tree,1811 34th Ave,1,Sidewalk: Curb side : Cutout,4/13/88,1988,12,37.75336545,-122.4926021
64373,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',376 Green St,1,Sidewalk: Curb side : Cutout,4/21/88,1988,9,37.80001237,-122.4054837
64356,Magnolia grandiflora :: Southern Magnolia,300 03rd St,1,Sidewalk: Curb side : Cutout,4/21/88,1988,11,37.78359471,-122.3988701
231331,Metrosideros excelsa :: New Zealand Xmas Tree,1221 Stanyan St,1,Sidewalk: Curb side : Cutout,4/21/88,1988,25,37.76159243,-122.4520672
64386,Pyrus calleryana :: Ornamental Pear,39 Stillman St,1,Sidewalk: Curb side : Cutout,4/21/88,1988,6,37.78282323,-122.394922
64355,Schinus terebinthifolius :: Brazilian Pepper,230 04th St,1,Sidewalk: Curb side : Cutout,4/21/88,1988,8,37.78287339,-122.4023867
64409,Ulmus americana :: American Elm,215 Virginia Ave,1,Sidewalk: Curb side : Cutout,5/2/88,1988,8,37.7423429,-122.4193555
64429,Pyrus calleryana :: Ornamental Pear,2552 Hyde St,1,Sidewalk: Curb side : Cutout,5/9/88,1988,6,37.80449907,-122.4200354
64439,Magnolia grandiflora :: Southern Magnolia,40 Rausch St,1,Sidewalk: Curb side : Cutout,5/26/88,1988,15,37.77652974,-122.4098643
64448,Platanus x hispanica :: Sycamore: London Plane,2663 Divisadero St,1,Sidewalk: Curb side : Cutout,6/1/88,1988,8,37.79425039,-122.4417676
64452,Dodonaea viscosa 'Purpurea' :: Purple Hopseed Bush,2255 Mariposa St,1,Sidewalk: Curb side : Cutout,6/8/88,1988,6,37.76319904,-122.4060748
213107,Prunus cerasifera :: Cherry Plum,133 Cresta Vista Dr,1,Sidewalk: Curb side : Cutout,7/6/88,1988,4,37.73560203,-122.4566651
64485,Magnolia grandiflora :: Southern Magnolia,729 04th Ave,1,Sidewalk: Curb side : Cutout,7/19/88,1988,9,37.77498478,-122.4617829
59622,Ficus retusa nitida :: Banyan Fig,448 Broderick St,1,Sidewalk: Curb side : Cutout,7/20/88,1988,8,37.77447487,-122.439334
64502,Pittosporum undulatum :: Victorian Box,531 Broderick St,1,Sidewalk: Curb side : Cutout,7/20/88,1988,10,37.77523718,-122.4396315
64491,Prunus cerasifera :: Cherry Plum,1573 Grove St,1,Sidewalk: Curb side : Cutout,7/20/88,1988,7,37.77529371,-122.4425193
64489,Prunus cerasifera :: Cherry Plum,1635 Grove St,1,Sidewalk: Curb side : Cutout,7/20/88,1988,3,37.77516273,-122.4435737
64510,Acacia baileyana :: Bailey's Acacia,838 Baker St,1,Sidewalk: Curb side : Cutout,7/21/88,1988,12,37.77883128,-122.4418583
64522,Magnolia grandiflora :: Southern Magnolia,401 Baker St,2,Sidewalk: Curb side : Cutout,7/21/88,1988,3,37.77473188,-122.4412689
64517,Metrosideros excelsa :: New Zealand Xmas Tree,529 Baker St,1,Sidewalk: Curb side : Cutout,7/21/88,1988,11,37.77590978,-122.4415063
26123,Arbutus 'Marina' :: Hybrid Strawberry Tree,1443 Oakdale Ave,1,Sidewalk: Curb side : Cutout,7/22/88,1988,12,37.73287058,-122.3874702
64531,Eriobotrya deflexa :: Bronze Loquat,1410 Oakdale Ave,1,Sidewalk: Curb side : Cutout,7/22/88,1988,0,37.73265871,-122.3868007
64537,Eriobotrya deflexa :: Bronze Loquat,1448 Oakdale Ave,1,Sidewalk: Curb side : Cutout,7/25/88,1988,4,37.73306122,-122.3874674
59347,Prunus cerasifera :: Cherry Plum,505 Lyon St,1,Sidewalk: Curb side : Cutout,7/25/88,1988,9,37.77561863,-122.4430842
63932,Prunus cerasifera :: Cherry Plum,736 Lyon St,1,Sidewalk: Curb side : Cutout,7/25/88,1988,8,37.77772138,-122.4433489
64554,Tristaniopsis laurina :: Swamp Myrtle,405 Lyon St,1,Sidewalk: Curb side : Cutout,7/25/88,1988,3,37.77470106,-122.442894
64572,Elaeocarpus decipiens :: Japanese Blueberry Tree,1022 Powell St,1,Sidewalk: Curb side : Cutout,7/26/88,1988,3,37.79423282,-122.409519
64564,Eriobotrya deflexa :: Bronze Loquat,1011 Powell St,1,Sidewalk: Curb side : Cutout,7/26/88,1988,11,37.79410425,-122.4096832
64617,Prunus blireiana :: Flowering Plum,1635 Chestnut St,1,Sidewalk: Curb side : Cutout,8/15/88,1988,6,37.80150528,-122.4302969
64612,Prunus cerasifera :: Cherry Plum,2319 Filbert St,1,Sidewalk: Curb side : Cutout,8/18/88,1988,7,37.79770808,-122.4376764
64640,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',2100 Broadway,1,Sidewalk: Curb side : Cutout,8/19/88,1988,17,37.79476282,-122.4317872
64657,Callistemon citrinus :: Lemon Bottlebrush,160 Boutwell St,1,Sidewalk: Curb side : Cutout,9/12/88,1988,11,37.73509434,-122.4056635
64663,Metrosideros excelsa :: New Zealand Xmas Tree,763 04th Ave,1,Sidewalk: Curb side : Cutout,9/16/88,1988,11,37.77447065,-122.4617393
64666,Corymbia ficifolia :: Red Flowering Gum,2649 Greenwich St,1,Sidewalk: Curb side : Cutout,9/28/88,1988,20,37.79794439,-122.4433437
64700,Arbutus 'Marina' :: Hybrid Strawberry Tree,964 Central Ave,1,Sidewalk: Curb side : Cutout,10/13/88,1988,2,37.7786179,-122.4452153
64699,Callistemon citrinus :: Lemon Bottlebrush,3290 25th St,1,Sidewalk: Curb side : Cutout,10/13/88,1988,14,37.75085399,-122.4159201
64709,Eucalyptus nicholii :: Nichol's Willow-Leafed Peppermint,2152 Sutter St,1,Sidewalk: Curb side : Cutout,10/20/88,1988,30,37.78584658,-122.4358225
64706,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',2998 Jackson St,1,Sidewalk: Curb side : Cutout,10/20/88,1988,14,37.79130576,-122.4442611
64736,Magnolia grandiflora :: Southern Magnolia,137 03rd Ave,1,Sidewalk: Curb side : Cutout,11/18/88,1988,10,37.78606831,-122.4615063
71765,Lophostemon confertus :: Brisbane Box,1016 Haight St,1,Sidewalk: Curb side : Cutout,12/3/88,1988,12,37.77108864,-122.4390258
62749,Acacia melanoxylon :: Blackwood Acacia,3757 Washington St,1,Sidewalk: Curb side : Cutout,12/16/88,1988,12,37.78893719,-122.4547595
64840,Prunus cerasifera :: Cherry Plum,840 De Haro St,1,Sidewalk: Curb side : Cutout,1/12/89,1989,10,37.7591387,-122.4011623
64839,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,21 Lisbon St,1,Sidewalk: Curb side : Cutout,1/18/89,1989,13,37.72795511,-122.4290156
64857,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,21 Almaden Ct,1,Sidewalk: Curb side : Cutout,2/3/89,1989,5,37.78035502,-122.4580202
64858,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,22 Almaden Ct,1,Sidewalk: Curb side : Cutout,2/3/89,1989,2,37.78043886,-122.4578614
64886,Maytenus boaria :: Mayten,2541 23rd Ave,1,Sidewalk: Curb side : Cutout,3/1/89,1989,5,37.74021315,-122.4798705
64913,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',50 California St,1,Sidewalk: Curb side : Cutout,3/21/89,1989,17,37.79366637,-122.3971291
64939,Ficus microcarpa :: Chinese Banyan,1904 Filbert St,3,Sidewalk: Curb side : Cutout,3/24/89,1989,14,37.79867823,-122.4310457
64910,Tristaniopsis laurina :: Swamp Myrtle,611 San Jose Ave,1,Sidewalk: Curb side : Cutout,3/24/89,1989,10,37.7461842,-122.4216958
4163,Schinus terebinthifolius :: Brazilian Pepper,3755 Cesar Chavez St,1,Sidewalk: Curb side : Cutout,3/28/89,1989,12,37.74783394,-122.4237681
4168,Schinus terebinthifolius :: Brazilian Pepper,3782-3788 Cesar Chavez St,1,Sidewalk: Curb side : Cutout,3/28/89,1989,18,37.74792916,-122.4242006
64965,Eriobotrya deflexa :: Bronze Loquat,1695 Filbert St,1,Sidewalk: Curb side : Cutout,4/3/89,1989,9,37.79903631,-122.4271782
64975,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',3048 Gough St,1,Sidewalk: Curb side : Cutout,4/3/89,1989,10,37.80158352,-122.42789
54849,Prunus cerasifera :: Cherry Plum,2076 Grove St,1,Sidewalk: Curb side : Cutout,4/3/89,1989,8,37.7743733,-122.4507012
